conso_id;annee;conso_agri;conso_indu;conso_tert;conso_resi;conso_autre;conso_totale;code_dep
1796;2018;54122;170957;458021;777807;43653;1504561;82
1908;2019;57907;174867;457965;777167;39492;1507398;82
2357;2012;0;8673;37484;0;0;46157;82
2452;2013;0;7875;35771;0;0;43646;82
2600;2015;27360;152177;362616;925336;573;1468063;82
2717;2016;27384;153560;357266;949937;601;1488749;82
2876;2017;0;8881;26849;0;0;35729;82
2980;2018;0;8802;23272;0;0;32074;82
3133;2020;59267;172145;461043;786104;15114;1493674;82
3187;2020;0;9824;21092;0;0;30916;82
33;2011;29420;185552;1407625;4233748;6365;5862710;83
246;2013;0;168443;43568;0;0;212010;83
283;2014;29169;189555;1458037;4176704;5292;5858758;83
677;2017;0;158163;43064;0;0;201227;83
728;2018;53518;241425;2119317;3667083;156752;6238094;83
795;2018;0;156726;38329;0;0;195055;83
958;2020;55838;261899;2059343;3642322;11314;6030715;83
1022;2020;0;154806;33679;0;0;188485;83
1083;2021;0;0;0;0;0;0;83
1215;2012;30217;185720;1461045;4420602;6463;6104046;83
1467;2015;30640;196551;1502629;4312752;4361;6046935;83
1523;2015;0;154421;43877;0;0;198298;83
1571;2016;31440;217287;1498483;4383068;1701;6131979;83
1635;2016;0;149392;39051;0;0;188444;83
1682;2017;33517;213252;1530208;4389317;1588;6167882;83
1964;2019;0;150945;39417;0;0;190361;83
2358;2012;0;166122;45022;0;0;211144;83
2399;2013;30814;189836;1496344;4532546;6332;6255872;83
2557;2014;0;167239;43042;0;0;210281;83
3021;2019;56010;243055;2160135;3645849;120529;6225578;83
3238;2021;59256;283791;2160289;3783356;9931;6296624;83
3307;2021;0;157440;39450;0;0;196890;83
102;2012;25671;419264;849511;2193426;734;3488605;84
191;2013;25542;410896;855992;2249084;710;3542224;84
247;2013;0;308556;138453;0;0;447009;84
317;2014;0;293642;137159;0;0;430801;84
360;2015;28842;397173;851798;2136202;476;3414491;84
483;2016;31721;399632;854699;2169284;866;3456203;84
550;2016;0;280274;140128;0;0;420402;84
